"User_Mac","domain_name","domain_type","web_detail","device","Adult Content","multimedia hosting","Networking/ISP","ad content","microsoft/google/bing","moview review/ticket booking","music hosting","eCommerce","online cloud","Social networking","Travel and Resturants","total"
"d8:3c:69:73:c1:c8",".com","Commercial","multimedia hosting"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","multimedia hosting",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","multimedia hosting"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".me","NUll","music hosting"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".me","NUll","music hosting",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".me","NUll","music hosting"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","microsoft/google/bing"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","microsoft/google/bing",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","microsoft/google/bing"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".mobi","mobile website","online cloud"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".mobi","mobile website","online cloud",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".mobi","mobile website","online cloud"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".net","Internet based services","ad content"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".net","Internet based services","ad content",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".net","Internet based services","ad content"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","music hosting"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","music hosting",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","music hosting"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","microsoft/google/bing"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","microsoft/google/bing",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","microsoft/google/bing"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:be:6d:c0",".in","indian website",NA,NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website",NA," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website",NA," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website",NA," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","eCommerce",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","eCommerce"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","eCommerce"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","eCommerce"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","ad content",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","ad content"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","ad content"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","ad content"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Social networking",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Social networking"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Social networking"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Social networking"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services",NA,NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services",NA," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services",NA," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services",NA," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Travel and Resturants",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Travel and Resturants"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Travel and Resturants"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Travel and Resturants"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","ad content",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","ad content"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","ad content"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","ad content"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial",NA,NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial",NA," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial",NA," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial",NA," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","multimedia hosting",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","multimedia hosting"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","multimedia hosting"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","multimedia hosting"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".cn","business/china",NA,NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".cn","business/china",NA," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".cn","business/china",NA," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".cn","business/china",NA," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","microsoft/google/bing",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","microsoft/google/bing"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","microsoft/google/bing"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","microsoft/google/bing"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Networking/ISP",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Networking/ISP"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Networking/ISP"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","Networking/ISP"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","microsoft/google/bing",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","microsoft/google/bing"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","microsoft/google/bing"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","microsoft/google/bing"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".org","non profit","multimedia hosting",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".org","non profit","multimedia hosting"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".org","non profit","multimedia hosting"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".org","non profit","multimedia hosting"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","multimedia hosting",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","multimedia hosting"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","multimedia hosting"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","multimedia hosting"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","Networking/ISP",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","Networking/ISP"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","Networking/ISP"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".in","indian website","Networking/ISP"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","microsoft/google/bing",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","microsoft/google/bing"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","microsoft/google/bing"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".com","Commercial","microsoft/google/bing"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","multimedia hosting",NA,0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","multimedia hosting"," Opera M",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","multimedia hosting"," Mic",0,498,519,6,248,0,0,8,0,1,7,1287
"d8:3c:69:be:6d:c0",".net","Internet based services","multimedia hosting"," Micromax A066",0,498,519,6,248,0,0,8,0,1,7,1287
"e4:92:fb:ed:d3:76",".in","indian website","ad content",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".in","indian website","ad content"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","online cloud",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","online cloud"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".biz","business","Adult Content",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".biz","business","Adult Content"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial",NA,NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial",NA," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".net","Internet based services","ad content",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".net","Internet based services","ad content"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".mobi","mobile website","music hosting",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".mobi","mobile website","music hosting"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","ad content",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","ad content"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","Adult Content",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","Adult Content"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".in","indian website","multimedia hosting",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".in","indian website","multimedia hosting"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".mobi","mobile website","multimedia hosting",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".mobi","mobile website","multimedia hosting"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","multimedia hosting",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","multimedia hosting"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".in","indian website","microsoft/google/bing",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".in","indian website","microsoft/google/bing"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".me","NUll","multimedia hosting",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".me","NUll","multimedia hosting"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","microsoft/google/bing",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".com","Commercial","microsoft/google/bing"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".net","Internet based services","Adult Content",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".net","Internet based services","Adult Content"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".in","indian website","Networking/ISP",NA,43,87,186,58,35,0,6,0,183,0,0,598
"e4:92:fb:ed:d3:76",".in","indian website","Networking/ISP"," GT-I8552",43,87,186,58,35,0,6,0,183,0,0,598
"e8:92:a4:e5:11:5c",".in","indian website","Networking/ISP",NA,0,0,9,0,0,0,0,0,0,0,0,9
"e8:92:a4:e5:11:5c",".in","indian website","Networking/ISP"," LG-E405",0,0,9,0,0,0,0,0,0,0,0,9
"e8:99:c4:bc:0e:1a",".in","indian website","Networking/ISP"," HTC_O",0,0,15,0,0,0,0,0,0,0,0,15
"f4:f5:a5:47:d5:e2",".in","indian website","Networking/ISP"," Windows P",0,0,10,0,0,0,0,0,0,0,0,10
"f4:f5:a5:47:d5:e2",".in","indian website","Networking/ISP"," Trident/7",0,0,10,0,0,0,0,0,0,0,0,10
"fc:92:3b:a6:e8:a8",".in","indian website","Networking/ISP"," Windows P",0,0,1,0,0,0,0,0,0,0,0,1
